"id","item_image","item_code","item_name","item_merk","item_type","item_weight","item_length","item_width","item_height","item_hpp","item_before_sale","item_discount","item_sale","item_profit","item_description","item_warehouse_a","item_warehouse_b","item_warehouse_c","item_warehouse_d","item_stock","category_id","supplier_id","created_at","updated_at","deleted_at"
"1349","1641277529_21b4826d013e9d045b26.png","C333564","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1500","750","850","4250000","8500000",NULL,"8500000","4250000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1350","1641277529_21b4826d013e9d045b26.png","C333565","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1600","750","850","4350000","8700000",NULL,"8700000","4350000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1351","1641277529_21b4826d013e9d045b26.png","C333566","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1700","750","850","4450000","8900000",NULL,"8900000","4450000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1352","1641277529_21b4826d013e9d045b26.png","C333567","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1800","750","850","4550000","9100000",NULL,"9100000","4550000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1353","1641277529_21b4826d013e9d045b26.png","C333568","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1900","750","850","4650000","9300000",NULL,"9300000","4650000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1354","1641277529_21b4826d013e9d045b26.png","C333569","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"2000","750","850","4750000","9500000",NULL,"9500000","4750000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1355","1641277529_21b4826d013e9d045b26.png","C333570","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"2100","750","850","4850000","9700000",NULL,"9700000","4850000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1356","1641277529_21b4826d013e9d045b26.png","C333571","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"2200","750","850","4950000","9900000",NULL,"9900000","4950000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1357","1641277529_21b4826d013e9d045b26.png","C333572","S/S ICE BIN 200kg","BKM","BKM - CUSTOM S/S 304",NULL,NULL,NULL,NULL,"3800000","6333330",NULL,"6333330","2533330",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1358","1641277529_21b4826d013e9d045b26.png","C333573","S/S ICE BIN 250kg","BKM","BKM - CUSTOM S/S 304",NULL,NULL,NULL,NULL,"3950000","6583330",NULL,"6583330","2633330",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1359","1641277529_21b4826d013e9d045b26.png","C333574","S/S ICE BIN 300kg","BKM","BKM - CUSTOM S/S 304",NULL,NULL,NULL,NULL,"4150000","6916670",NULL,"6916670","2766670",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1360","1641277529_21b4826d013e9d045b26.png","C333575","S/S ICE BIN 400kg","BKM","BKM - CUSTOM S/S 304",NULL,NULL,NULL,NULL,"4300000","7166670",NULL,"7166670","2866670",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1361","1641277529_21b4826d013e9d045b26.png","C333576","S/S ICE BIN 500kg","BKM","BKM - CUSTOM S/S 304",NULL,NULL,NULL,NULL,"4700000","7833330",NULL,"7833330","3133330",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1362","1641277529_21b4826d013e9d045b26.png","C333577","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"1000","980","500","3100000","5166670",NULL,"5166670","2066670",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1363","1641277529_21b4826d013e9d045b26.png","C333578","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"1500","980","500","4650000","7750000",NULL,"7750000","3100000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1364","1641277529_21b4826d013e9d045b26.png","C333579","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"2000","980","500","6200000","10333300",NULL,"10333300","4133330",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1365","1641277529_21b4826d013e9d045b26.png","C333580","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"2500","980","500","7750000","12916700",NULL,"12916700","5166670",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1366","1641277529_21b4826d013e9d045b26.png","C333581","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"3000","980","500","9300000","15500000",NULL,"15500000","6200000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1367","1641277529_21b4826d013e9d045b26.png","C333582","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"3500","980","500","10850000","18083300",NULL,"18083300","7233330",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1368","1641277529_21b4826d013e9d045b26.png","C333583","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"4000","980","500","12400000","20666700",NULL,"20666700","8266670",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1369","1641277529_21b4826d013e9d045b26.png","C333584","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"4500","980","500","13950000","23250000",NULL,"23250000","9300000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1370","1641277529_21b4826d013e9d045b26.png","C333585","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"5000","980","500","15500000","25833300",NULL,"25833300","10333300",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1371","1641277529_21b4826d013e9d045b26.png","C333586","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"5500","980","500","17050000","28416700",NULL,"28416700","11366700",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1372","1641277529_21b4826d013e9d045b26.png","C333587","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"6000","980","500","18600000","31000000",NULL,"31000000","12400000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1373","1641277529_21b4826d013e9d045b26.png","C333588","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"6500","980","500","20150000","33583300",NULL,"33583300","13433300",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1374","1641277529_21b4826d013e9d045b26.png","C333589","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"7000","980","500","21700000","36166700",NULL,"36166700","14466700",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1375","1641277529_21b4826d013e9d045b26.png","C333590","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"7500","980","500","23250000","38750000",NULL,"38750000","15500000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1376","1641277529_21b4826d013e9d045b26.png","C333591","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"8000","980","500","24800000","41333300",NULL,"41333300","16533300",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1377","1641277529_21b4826d013e9d045b26.png","C333592","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"8500","980","500","26350000","43916700",NULL,"43916700","17566700",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1378","1641277529_21b4826d013e9d045b26.png","C333593","S/S EXHAUST HOOD WALL MOUNTED","BKM","BKM - CUSTOM S/S 304",NULL,"9000","980","500","27900000","46500000",NULL,"46500000","18600000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
